company_code,year,index_id,index_name,value,unit,source
NTP,2020,14,Merchandise purchase of the year,3097.0,VND,pdf
NTP,2020,17,Production cost,3325381674138.0,VND,pdf
NTP,2020,21,Net Income,246494747822.0,VND,pdf
NTP,2020,22,Total shareholders' equity,2589288536954.0,VND,pdf
NTP,2020,24,Total liabilities,1984900418669.0,VND,pdf
NTP,2020,28,Cash and cash equivalent,297022694727.0,VND,pdf
NTP,2020,29,Long-term debt,35457201151.0,VND,pdf
NTP,2020,30,Current assets,1678805704339.0,VND,pdf
NTP,2020,31,Current liabilities,270673123230.0,VND,pdf
NTP,2020,33,Total inventory,4238.0,VND,pdf
NTP,2020,37,"Net plant, property and equipment",1323608.0,VND,pdf
NTP,2020,38,Firm age,60.0,years,yahoo
NTP,2021,1,Managerial ownership,10.0,%,yahoo
NTP,2021,6,Total sales revenue and Net sales revenue,4823524562218.0,VND,pdf
NTP,2021,8,Selling expenses,582038492316.0,VND,pdf
NTP,2021,9,General and administrative expenditure,557872853928.0,VND,pdf
NTP,2021,12,Net operating income,557872853928.0,VND,pdf
NTP,2021,14,Merchandise purchase of the year,3682609246256.0,VND,pdf
NTP,2021,17,Production cost,3682609246256.0,VND,pdf
NTP,2021,21,Net Income,495438942708.0,VND,pdf
NTP,2021,22,Total shareholders' equity,2707977704900.0,VND,pdf
NTP,2021,24,Total liabilities,2190220357037.0,VND,pdf
NTP,2021,27,Cash flows from investing activities,-754678831507.0,VND,pdf
NTP,2021,28,Cash and cash equivalent,436319978.0,VND,pdf
NTP,2021,29,Long-term debt,16720597523.0,VND,pdf
NTP,2021,30,Current assets,2721738069056.0,VND,pdf
NTP,2021,31,Current liabilities,2173499759514.0,VND,pdf
NTP,2021,32,Growth ratio,0.73,%,computed
NTP,2021,33,Total inventory,-3446359120.0,VND,pdf
NTP,2021,37,"Net plant, property and equipment",209920.0,VND,pdf
NTP,2021,38,Firm age,61.0,years,yahoo
NTP,2022,1,Managerial ownership,10.0,%,yahoo
NTP,2022,6,Total sales revenue and Net sales revenue,5833535613193.0,VND,pdf
NTP,2022,8,Selling expenses,2.950827387632206e+23,VND,pdf
